# camdl survey landscape; run_hash=aaa9fba3b601ba88e5ca4041c3224122b985842b1ebcbdab55e715c4a0cdebf2; version=0.1.0+578d682
# eval=simulate; n_points=400
beta	z_lat	d_inf	delta	e0	loglik	loglik_se	n_replicates	point_id	loglik_type
0.32712549120355294	11.135231643979305	12.192805460654531	0.42715526465888837	0.5002446689168415	-19.596183195165043	0	1	17	marginal
0.15419709724471836	9.836744018581438	8.075450817413829	0.4285339956426001	3.6987667726888525	-19.601308096000448	0	1	395	marginal
0.11908245999027518	8.8848359072838	11.296448118011078	0.48716696638533896	0.5215714540110136	-19.656889698860688	0	1	135	marginal
0.13569425166586116	10.87183581000722	13.156715595947697	0.43693696824691175	3.932542658139526	-19.714383424418735	0	1	238	marginal
0.10262390837938687	10.495045351621528	8.014707507631464	0.4616674227639888	4.974354784243258	-19.72427026041032	0	1	252	marginal
0.1553136509058554	9.418981963763095	7.446203249047601	0.46055270819136007	0.8933943513444599	-19.753928709548976	0	1	196	marginal
0.3024393040801667	10.298548890268952	13.2526432026975	0.35178366358611574	0.8200573854435924	-19.767929038886237	0	1	5	marginal
0.33861285204050284	11.823660808376847	13.11754847377084	0.37078534987586326	0.6496823748669059	-19.78573633487623	0	1	363	marginal
0.16933841227567753	11.652979612647336	7.538274014279026	0.46591036115943263	0.6782917418758454	-19.80992982759512	0	1	223	marginal
0.16968187125908996	10.438328079701705	8.284899430509421	0.30063160907717373	3.7202065483827123	-19.820599261071166	0	1	277	marginal
0.21505981065226387	6.699970318678762	8.049924774899733	0.38937554530993235	1.9428659484620154	-19.849282669362132	0	1	339	marginal
0.13372309506737795	8.1804932511402	8.608482010946744	0.46360872342396797	3.6685511250466174	-19.852365604586804	0	1	146	marginal
0.1870124769737233	11.56047087829997	13.588378958266626	0.31615422043728786	2.5232457943185054	-19.85408807502351	0	1	356	marginal
