comparator,model,noise,regime,treatment,rep,level,m,u
lev_abs,address_heavy,elevated,split,expand,0,Levenshtein distance of street_name <= 2,0.03501815526015632,0.00035116295906635175
lev_abs,address_heavy,elevated,split,expand,0,All other comparisons,0.0428863747573133,0.9981776026219098
lev_abs,address_heavy,elevated,split,expand,1,Exact match on street_name,0.8582908129161291,0.0012192305335547641
lev_abs,address_heavy,elevated,split,expand,1,Levenshtein distance of street_name <= 1,0.064772380038252,0.00014926146995837962
lev_abs,address_heavy,elevated,split,expand,1,Levenshtein distance of street_name <= 2,0.034195360417482695,0.0002816328262109426
lev_abs,address_heavy,elevated,split,expand,1,All other comparisons,0.04274144662813631,0.998349875170276
lev_abs,address_heavy,elevated,split,expand,2,Exact match on street_name,0.861303853993687,0.001011636254065599
lev_abs,address_heavy,elevated,split,expand,2,Levenshtein distance of street_name <= 1,0.0625354924311256,0.00013404291145634853
lev_abs,address_heavy,elevated,split,expand,2,Levenshtein distance of street_name <= 2,0.03182997202749119,0.00036136196460380903
lev_abs,address_heavy,elevated,split,expand,2,All other comparisons,0.04433068154769615,0.9984929588698742
jw_tf,full,severe,split,none,0,Exact match on street_name,0.09690869740717366,3.53172921398787e-05
jw_tf,full,severe,split,none,0,Jaro-Winkler distance of street_name >= 0.92,0.658845003725383,0.0010890821154819898
jw_tf,full,severe,split,none,0,Jaro-Winkler distance of street_name >= 0.7,0.23401905652254426,0.008392023530046682
jw_tf,full,severe,split,none,0,All other comparisons,0.010227242344899058,0.9904835770623315
jw_tf,full,severe,split,none,1,Exact match on street_name,0.09504839841664062,3.0204180258547784e-05
jw_tf,full,severe,split,none,1,Jaro-Winkler distance of street_name >= 0.92,0.6574865480110104,0.0010384197172888727
jw_tf,full,severe,split,none,1,Jaro-Winkler distance of street_name >= 0.7,0.23776050870341464,0.008181104264830253
jw_tf,full,severe,split,none,1,All other comparisons,0.009704544868934215,0.9907502718376223
jw_tf,full,severe,split,none,2,Exact match on street_name,0.09654781313689596,3.9906110262280785e-05
jw_tf,full,severe,split,none,2,Jaro-Winkler distance of street_name >= 0.92,0.6520867088582394,0.0010318276701326962
jw_tf,full,severe,split,none,2,Jaro-Winkler distance of street_name >= 0.7,0.2411287461307367,0.008262899756275555
jw_tf,full,severe,split,none,2,All other comparisons,0.01023673187412797,0.9906653664633295
jw_tf,full,severe,split,abbreviate,0,Exact match on street_name,0.6289057399156619,0.0007928755485116063
jw_tf,full,severe,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.92,0.22460919219499587,0.0004735258919041304
jw_tf,full,severe,split,abbreviate,0,Jaro-Winkler distance of street_name >= 0.7,0.14166415037436442,0.01294411920087115
jw_tf,full,severe,split,abbreviate,0,All other comparisons,0.00482091751497801,0.9857894793587131
jw_tf,full,severe,split,abbreviate,1,Exact match on street_name,0.6211927082078904,0.0007396103939468817
jw_tf,full,severe,split,abbreviate,1,Jaro-Winkler distance of street_name >= 0.92,0.23159590259761395,0.00042260469744425375
