scenario,noise_type,sigma,variable,realization,cp_time,delay,is_delay,tau_var_bp,tau_ac_bp,tau_var_cp,tau_ac_cp
MN low,multiplicative,0.05,I,21,107.89,93.39374815310283,True,-0.009499059993812616,0.09062992313367124,0.9282473049189689,0.41016348968372945
MN low,multiplicative,0.05,I,22,107.44,92.94374815310283,True,-0.20953047285880866,-0.02493324766188334,0.812071107303491,0.09778444111277693
MN low,multiplicative,0.05,I,23,81.545,67.04874815310284,True,0.5128968848908878,0.462615358987173,0.9484562480664428,0.4845205968444348
MN low,multiplicative,0.05,I,24,82.705,68.20874815310283,True,-0.03968777516003902,-0.007979819614002522,0.9420956188572379,-0.41493634135313284
MN low,multiplicative,0.05,I,25,105.94,91.44374815310283,True,-0.6958530258680183,-0.4886804216939149,0.8757611670355296,0.42910449537136186
MN low,multiplicative,0.05,I,26,82.905,68.40874815310283,True,0.24383522524452053,0.4391946883701006,0.9078974798315126,-0.5549406249256323
MN low,multiplicative,0.05,I,27,90.365,75.86874815310283,True,0.0377991956402751,0.31738702077532654,0.9279388876990075,0.24726779467409146
MN low,multiplicative,0.05,I,28,89.135,74.63874815310284,True,-0.0548935056281383,-0.03962685324004664,0.7211146807548605,-0.468591418576426
MN low,multiplicative,0.05,I,29,110.81,96.31374815310284,True,0.5089293448513837,0.7525180267009351,0.8070659908141166,0.013262892363342136
MN low,multiplicative,0.05,I,30,83.315,68.81874815310283,True,-0.499983341662502,-0.16508031698436496,0.9221417862497322,0.3583969919802003
MN low,multiplicative,0.05,I,31,102.185,87.68874815310284,True,-0.5533795007258274,-0.018511696532686035,0.7948187810856475,-0.07249613288593798
MN low,multiplicative,0.05,I,32,108.595,94.09874815310283,True,0.16017800623497772,0.5300616358487422,0.5791285309726087,-0.407399157564075
MN low,multiplicative,0.05,I,33,92.17,77.67374815310284,True,0.13079841031865017,0.5893462792413315,0.9424820922871896,0.4869574736441302
MN low,multiplicative,0.05,I,34,84.505,70.00874815310283,True,-0.6338935294257633,0.395087218295614,0.9935860641108015,0.020638252302420213
MN low,multiplicative,0.05,I,35,102.055,87.55874815310284,True,0.43321101354084857,0.5950177292306227,0.7447314438019084,0.5709935508436258
MN low,multiplicative,0.05,I,36,89.13,74.63374815310283,True,-0.6893933985388256,-0.0816134789747983,0.9245443944694318,0.1422422122272197
MN low,multiplicative,0.05,I,37,87.88,73.38374815310283,True,0.6699421717712571,0.7471511863116059,0.9597724947050283,-0.1350134456581233
MN low,multiplicative,0.05,I,38,99.895,85.39874815310283,True,-0.3429190166821351,-0.34929487637133805,0.8342485899907188,0.39468170676566466
MN low,multiplicative,0.05,I,39,94.58,80.08374815310283,True,0.20132314794983455,0.0019409342947573828,0.9219209442897598,-0.12092525165988433
MN low,multiplicative,0.05,I,40,86.305,71.80874815310284,True,-0.7328726113133908,-0.49795388020275566,0.9821784345922275,0.4637519335570309
MN low,multiplicative,0.05,I,41,113.9,99.40374815310284,True,0.11241712477094784,0.3519278456010089,0.7472444730015944,0.2697651174412793
MN low,multiplicative,0.05,I,42,96.905,82.40874815310283,True,-0.08583993717426999,-0.0025577687346802786,0.9329592346683799,0.4764750957854405
MN low,multiplicative,0.05,I,43,89.44500000000001,74.94874815310284,True,-0.42827253040146585,0.05581114204802359,0.9485933223864257,0.2457923419242759
MN low,multiplicative,0.05,I,44,76.34,61.84374815310284,True,-0.7966026510554246,-0.6189657552176291,0.46771566597653547,-0.10771471407153564
MN low,multiplicative,0.05,I,45,75.33,60.83374815310283,True,-0.7748973132481377,-0.4446928916494133,0.9217952928297755,-0.30467337759691576
MN low,multiplicative,0.05,I,46,84.795,70.29874815310284,True,-0.44249970252968746,-0.300431688917446,0.8212170105423477,-0.01577782537302777
MN low,multiplicative,0.05,I,47,79.185,64.68874815310284,True,0.3890159682063729,0.6805806620499273,0.9773313343328334,-0.5579296066252587
MN low,multiplicative,0.05,I,48,69.89,55.393748153102834,True,-0.23955736417505527,-0.12399419337950071,0.9770495704528687,0.25918945289260126
MN low,multiplicative,0.05,I,49,75.51,61.01374815310284,True,-0.2890564241688679,-0.28165441088979315,0.8541053282882366,0.12393898288950761
MN low,multiplicative,0.05,I,50,119.27,104.77374815310283,True,-0.9572137740653481,-0.525471549939316,0.8722714833059658,-0.04007996001999
MN low,multiplicative,0.05,I,51,105.46000000000001,90.96374815310284,True,-0.0037495537945313054,0.08570857428428641,0.9006687132624163,0.28197805858975267
MN low,multiplicative,0.05,I,52,87.755,73.25874815310283,True,0.6717393684110325,0.6144289759881962,0.4758944337355131,-0.525094595559363
MN low,multiplicative,0.05,I,53,97.955,83.45874815310283,True,0.13571785535803524,-0.01344756193331905,0.1560733918754908,-0.565535327574308
MN low,multiplicative,0.05,I,54,79.25,64.75374815310283,True,0.19834178149020726,0.6776963899002879,0.7913938268960756,0.3870169677066228
MN low,multiplicative,0.05,I,55,68.34,53.84374815310284,True,-0.3616943908997881,-0.4398267532900216,0.9237067180695365,-0.18096190000237974
MN low,multiplicative,0.05,I,56,116.495,101.99874815310284,True,-0.791102543966112,-0.342087051712239,0.8003798100949524,-0.43804288332024455
