chain	draw	a0	beta	d_home	h0	i0	d_school
0	2650	1.8897	0.6737	3.1121	11.9491	1.2804	1.0
0	2655	2.0598	0.4572	4.3864	10.5708	1.3379	1.0
0	2660	2.1476	0.5388	3.455	10.5708	7.6492	1.0
0	2665	2.2208	0.5892	2.7639	7.4888	6.1163	1.0
0	2670	2.0088	1.5333	3.0825	8.7449	6.3023	1.0
0	2675	1.1077	0.9585	2.4444	11.6343	8.147	1.0
0	2680	1.189	0.3574	4.567	3.1433	9.0188	1.0
0	2685	0.9227	0.5781	4.6327	4.0133	8.3934	1.0
0	2690	3.1716	0.8524	2.4199	9.0786	8.8881	1.0
0	2695	1.9927	1.3773	3.4462	9.1783	3.0075	1.0
0	2700	0.9462	0.6674	4.6007	5.3155	11.7133	1.0
0	2705	1.2846	1.43	4.3577	10.5902	2.5664	1.0
0	2710	0.729	5.4111	2.9801	11.4399	8.6301	1.0
0	2715	1.4664	4.5047	2.2808	9.7837	6.2583	1.0
0	2720	1.9779	2.4918	2.0894	9.7837	4.723	1.0
0	2725	1.237	4.3543	2.7827	7.6326	5.1296	1.0
0	2730	1.8144	1.6691	2.9262	7.0148	10.7554	1.0
0	2735	2.4069	1.9084	3.1218	2.8376	1.7981	1.0
0	2740	4.4839	0.4972	3.7662	6.4572	4.3831	1.0
0	2745	2.7865	0.1157	3.3857	1.2979	9.5455	1.0
0	2750	2.8948	1.2101	1.8551	0.776	9.5455	1.0
0	2755	4.1787	1.4865	2.109	1.9283	6.5176	1.0
0	2760	4.1787	2.0396	1.8437	3.0861	6.5176	1.0
0	2765	4.1787	1.5724	2.9852	11.5183	0.4522	1.0
0	2770	3.1955	7.8738	2.7322	2.1408	0.8341	1.0
0	2775	2.4836	8.7172	2.4583	1.402	0.403	1.0
0	2780	1.2067	6.693	2.4583	11.544	0.4852	1.0
0	2785	0.8004	3.5982	4.1652	4.2494	2.9037	1.0
0	2790	0.9046	3.0162	3.3952	1.539	10.7103	1.0
0	2795	1.3055	3.8845	3.7561	2.2587	10.2259	1.0
0	2800	1.4041	3.1589	3.0295	5.5332	7.2764	1.0
0	2805	1.0158	1.8063	3.9036	8.5948	7.0597	1.0
0	2810	1.9184	1.4256	2.1663	1.18	11.0933	1.0
0	2815	1.8259	0.8463	3.3942	6.9445	3.3288	1.0
0	2820	1.0869	0.805	3.2047	5.7869	11.793	1.0
0	2825	1.3661	0.6991	4.0339	7.7403	11.793	1.0
0	2830	1.9507	0.4736	3.5056	5.2499	8.7954	1.0
0	2835	2.809	0.8878	3.1103	6.7188	5.1831	1.0
0	2840	2.0587	1.6404	4.2154	2.3917	3.5669	1.0
0	2845	1.2229	0.7098	3.474	10.8271	8.6011	1.0
0	2850	1.1234	1.5934	3.4015	10.8271	11.0746	1.0
0	2855	2.4635	1.3087	2.9314	2.3413	2.6515	1.0
0	2860	1.8208	2.5791	2.7536	4.0336	2.9447	1.0
0	2865	1.0601	2.8145	3.483	10.3561	4.3534	1.0
0	2870	0.6982	1.9703	3.9061	6.273	2.2502	1.0
0	2875	2.8434	2.9133	2.1422	8.4033	0.5599	1.0
0	2880	2.2295	3.7766	3.4149	11.2671	0.9937	1.0
0	2885	2.2295	0.8048	3.9078	10.6086	0.4857	1.0
0	2890	1.9619	1.9189	5.0885	9.6214	3.5461	1.0
0	2895	1.0598	1.137	3.8737	2.7854	1.1372	1.0
0	2900	1.8122	1.137	2.7586	2.8873	5.9382	1.0
0	2905	1.9446	1.8644	2.3629	3.978	7.0653	1.0
0	2910	1.7813	1.2463	2.9708	10.9074	6.7578	1.0
0	2915	1.2346	2.5141	3.741	9.4764	0.7025	1.0
0	2920	1.4666	4.206	2.3147	6.9442	2.9339	1.0
0	2925	0.9104	4.4573	2.71	5.7462	3.319	1.0
0	2930	1.3054	1.6692	3.5343	3.5829	10.9109	1.0
0	2935	1.7086	1.5139	2.9832	3.4213	5.4558	1.0
0	2940	2.1159	0.9087	3.2054	6.0767	1.2603	1.0
0	2945	0.9454	1.3959	4.2092	11.4522	1.6711	1.0
0	2950	1.1956	2.3302	4.1843	8.8925	6.5622	1.0
0	2955	2.2118	1.9897	3.0239	10.0121	2.0525	1.0
0	2960	1.9701	1.9897	2.8434	10.1004	8.1578	1.0
0	2965	2.1088	1.6435	2.4127	4.7328	3.9031	1.0
0	2970	2.1088	2.4254	2.8736	7.874	8.9108	1.0
0	2975	2.3086	2.5493	2.165	4.5902	9.7086	1.0
0	2980	2.9062	1.6428	2.9525	5.73	7.2421	1.0
0	2985	2.3577	1.7809	2.8246	11.5623	7.4187	1.0
0	2990	2.4442	2.5296	3.2521	3.4537	2.9589	1.0
0	2995	2.0629	6.0697	2.8157	2.576	1.6976	1.0
0	3000	1.6175	4.9326	2.3813	9.2293	5.8838	1.0
