decyear	cases	city
1956.7022587268993	196.0	liverpool
1956.7405886379192	213.0	liverpool
1956.7789185489391	260.0	liverpool
1956.817248459959	329.0	liverpool
1956.8555783709787	347.0	liverpool
1956.8939082819986	357.0	liverpool
1956.9322381930185	400.0	liverpool
1956.9705681040384	455.0	liverpool
1957.008898015058	680.0	liverpool
1957.047227926078	538.0	liverpool
1957.085557837098	875.0	liverpool
1957.1238877481178	948.0	liverpool
1957.1622176591375	1003.0	liverpool
1957.2005475701574	1300.0	liverpool
1957.2388774811773	1032.0	liverpool
1957.2772073921972	706.0	liverpool
1957.315537303217	474.0	liverpool
1957.3538672142367	453.0	liverpool
1957.3921971252566	412.0	liverpool
1957.4305270362765	391.0	liverpool
1957.4688569472964	292.0	liverpool
1957.5071868583161	274.0	liverpool
1957.545516769336	193.0	liverpool
1957.583846680356	162.0	liverpool
1957.6221765913758	126.0	liverpool
1957.6605065023957	90.0	liverpool
1957.6988364134154	47.0	liverpool
1957.7371663244353	20.0	liverpool
1957.7754962354552	15.0	liverpool
1957.813826146475	26.0	liverpool
1957.8521560574948	28.0	liverpool
1957.8904859685147	42.0	liverpool
1957.9288158795346	50.0	liverpool
1957.9671457905545	68.0	liverpool
1958.0054757015744	71.0	liverpool
1958.043805612594	54.0	liverpool
1958.082135523614	111.0	liverpool
1958.1204654346338	221.0	liverpool
1958.1587953456537	307.0	liverpool
1958.1971252566734	312.0	liverpool
1958.2354551676933	314.0	liverpool
1958.2737850787132	304.0	liverpool
1958.3121149897331	275.0	liverpool
1958.350444900753	255.0	liverpool
1958.3887748117727	320.0	liverpool
1958.4271047227926	354.0	liverpool
1958.4654346338125	455.0	liverpool
1958.5037645448324	563.0	liverpool
1958.542094455852	510.0	liverpool
1958.580424366872	437.0	liverpool
1958.6187542778919	295.0	liverpool
1958.6570841889118	147.0	liverpool
1958.6954140999314	111.0	liverpool
1958.7337440109513	97.0	liverpool
1958.7720739219712	123.0	liverpool
1958.8104038329911	187.0	liverpool
1958.848733744011	239.0	liverpool
1958.8870636550307	237.0	liverpool
1958.9253935660506	279.0	liverpool
1958.9637234770705	350.0	liverpool
1934.0	49.0	newyork
1934.038462	67.0	newyork
1934.076923	53.0	newyork
1934.115385	96.0	newyork
1934.153846	148.0	newyork
1934.192308	200.0	newyork
1934.230769	233.0	newyork
1934.269231	278.0	newyork
1934.307692	450.0	newyork
1934.346154	641.0	newyork
1934.384615	717.0	newyork
1934.423077	772.0	newyork
1934.461538	402.0	newyork
1934.5	270.0	newyork
1934.538462	136.0	newyork
1934.576923	70.0	newyork
1934.615385	34.0	newyork
1934.653846	18.0	newyork
1934.692308	27.0	newyork
1934.730769	16.0	newyork
1934.769231	18.0	newyork
1934.807692	29.0	newyork
1934.846154	30.0	newyork
1934.884615	54.0	newyork
1934.923077	79.0	newyork
1934.961538	104.0	newyork
1935.0	153.0	newyork
1935.038462	241.0	newyork
1935.076923	444.0	newyork
1935.115385	782.0	newyork
1935.153846	1385.0	newyork
1935.192308	2083.0	newyork
1935.230769	2825.0	newyork
1935.269231	3021.0	newyork
1935.307692	3467.0	newyork
1935.346154	3094.0	newyork
1935.384615	2767.0	newyork
1935.423077	3022.0	newyork
1935.461538	1829.0	newyork
1935.5	1202.0	newyork
1935.538462	626.0	newyork
1935.576923	288.0	newyork
1935.615385	142.0	newyork
1935.653846	67.0	newyork
1935.692308	29.0	newyork
1935.730769	38.0	newyork
1935.769231	47.0	newyork
1935.807692	86.0	newyork
1935.846154	128.0	newyork
1935.884615	193.0	newyork
1935.923077	217.0	newyork
1935.961538	228.0	newyork
1936.0	490.0	newyork
1936.038462	556.0	newyork
1936.076923	1152.0	newyork
1936.115385	1881.0	newyork
1936.153846	2824.0	newyork
1936.192308	3317.0	newyork
1936.230769	4104.0	newyork
1936.269231	3750.0	newyork
1936.307692	4115.0	newyork
1936.346154	4426.0	newyork
1936.384615	3357.0	newyork
1936.423077	2684.0	newyork
1936.461538	1718.0	newyork
1936.5	933.0	newyork
1936.538462	417.0	newyork
1936.576923	183.0	newyork
1936.615385	92.0	newyork
1936.653846	84.0	newyork
1936.692308	43.0	newyork
1936.730769	33.0	newyork
1936.769231	49.0	newyork
1936.807692	44.0	newyork
1936.846154	63.0	newyork
1936.884615	89.0	newyork
1936.923077	95.0	newyork
