pair,state,n,n_adults,e_adj,e_adj_dur,raw_u_f,raw_u_f_adults,fb_stock
2022->2023,AZ,114,112,0.014840079731990743,0.017249700965234573,0.3548800219295648,0.3444050437219854,1145384.61
2022->2023,AR,44,44,0.020269176009073384,0.028050638834943676,0.26064417709793386,0.26064417709793386,173870.21
2022->2023,CA,1104,1081,0.00019392377474150652,0.003302307369609121,0.30712105298000175,0.3075643521079356,10192865.16
2022->2023,CO,58,57,0.012746341140995569,0.012219784214391276,0.287071078006108,0.294789165640332,539003.31
2022->2023,CT,64,63,-0.0071917367384667615,-0.0030315477251474363,0.3598530635404248,0.36325052592219087,635172.86
2022->2023,DE,51,49,-0.004336565744637277,-0.0031872013560842708,0.25450764934434195,0.2612949092239072,94382.35
2022->2023,DC,97,95,-0.00467132631587842,-0.0026704694801197543,0.40220246838016216,0.3897341864867726,77566.74
2022->2023,FL,446,421,-0.004034747796474351,-0.002263276928198492,0.3224513892528381,0.32832172394061926,4977215.27
2022->2023,GA,124,115,-0.0008423631022107384,0.0011545536037716017,0.22750562042610403,0.2421705646848217,1196194.97
2022->2023,HI,140,137,-0.029346466336334212,-0.02426644739177203,0.2801999706573206,0.2865247514734333,239825.54
2022->2023,ID,63,59,-0.0035871375920672475,-0.004734807486344482,0.4155978402998448,0.4299825781591413,136722.63999999998
2022->2023,IL,181,177,-0.0011487767481518263,0.002264419292980725,0.2545067494934709,0.2547555171677355,1842485.27
2022->2023,IN,45,41,0.037127418361707076,0.03795198071557496,0.27670352130809833,0.31417114742371044,437050.96
2022->2023,IA,22,19,0.009895113820800496,0.009314869151886982,0.09601634431857062,0.11031507164355209,172850.28000000003
2022->2023,KS,40,40,0.0017847934324975927,0.008649570242474477,0.4173523016180082,0.4173523016180082,213837.96000000002
2022->2023,KY,30,29,0.004844626955981369,0.005049461296206249,0.42976764867349043,0.44026698645626955,297858.85000000003
2022->2023,LA,73,63,0.03500146600980596,0.03016220412759342,0.4127306677755406,0.35418859259549135,241011.53
2022->2023,ME,14,14,-0.0217348423271665,-0.020844078368494882,0.5295123307947287,0.5295123307947287,41737.47000000001
2022->2023,MD,101,97,0.002872241449069383,0.006487429252472767,0.4117568394302947,0.4290005704035676,881152.1500000001
2022->2023,MA,211,195,-0.00742075728778429,-0.005395533580624984,0.3528854803211809,0.3280011404350562,1297493.16
2022->2023,MI,96,86,0.011983254777120436,0.013522631705517391,0.15010657358901844,0.1653061395432255,761213.3500000001
2022->2023,MN,64,56,0.013894985420842053,0.01920293214084086,0.4149679203856972,0.3663373114961139,508003.59
2022->2023,MS,13,12,-0.0054030699588391885,0.0005000173021461939,0.18569955133365246,0.19924152937519427,65537.95
2022->2023,MO,39,36,-0.012020713100370449,-0.013375407993440802,0.32257476499812293,0.31306201871549877,305699.3700000001
2022->2023,MT,22,20,-0.0036471111257143133,-0.003945649129989024,0.44464149305866874,0.48156491848169114,27287.050000000003
2022->2023,NE,31,29,-0.008604339780171544,-0.006097863951253878,0.3386392473813926,0.3192212032886198,162703.91
2022->2023,NV,126,124,-0.002133567565793018,-0.00376873673564199,0.398718152861632,0.403041073324955,547972.26
2022->2023,NH,30,30,-0.033548584426889655,-0.030166416461125698,0.49072559816489103,0.49072559816489103,84796.66000000002
2022->2023,NJ,205,197,-0.004064289322682109,0.0010464401338077082,0.31989377383135714,0.32505146933502876,2324015.6399999997
2022->2023,NM,79,78,0.023174494783561192,0.0227561861907513,0.3482947851838003,0.3520067537778036,200955.88
2022->2023,NY,376,364,-0.008482321791484851,-0.003441551651639899,0.2736535757570635,0.2801655520162836,4477093.0
2022->2023,NC,96,91,-0.005297183952719393,-0.0054999131309020986,0.24377174853737735,0.24545990895967437,930896.48
